name;classification;province;longitude;latitude;area_type;ownership;district;sub_district;postal_area;postal_address;street_address
Seshego Hospital;DISTRICT HOSPITAL;Western Cape Province;-33,48665;21,268281;URBAN;Facility Owner - Government - Prov;Capricorn District Municipality;Polokwane Local Municipality;SEHEGO;PRIVATE X4016;BOOKELE STREET
Nhlungwana Clinic;CLINIC;Limpopo Province;-24,302306;29,54685;RURAL;Facility Owner - Government - Local;Zululand District Municipality;Ulundi Local Municipality;Mahlabathini;Private x509;
Potlako Motlohi Clinic;CLINIC;Western Cape Province;-34,186002;22,129863;URBAN;Facility Owner - Government - Prov;Mangaung Metropolitan Municipality;Botshabelo Health sub-District;L Section;Private X527,Botlhabelo Hospital;1717 Section L,
Bronville Clinic;CLINIC;KwaZulu-Natal Province;-27,899103;31,649809;URBAN;Facility Owner - Government - Prov;Lejweleputswa District Municipality;Matjhabeng Local Municipality;welkom;privatebag 15 welkom;adam kok street bronville
Mamelodi Hospital;DISTRICT HOSPITAL;Limpopo Province;-23,484495;29,913218;URBAN;Facility Owner - Government - Prov;City of Tshwane Metropolitan Municipality;Tshwane 6 Health sub-District;Mamelodi East;Privatebag X0032;19472 Serapeng street,Tsamaya road
Cullinan Rehabilitation Hospital;SPECIALISED PSYCHIATRIC HOSPITAL;KwaZulu-Natal Province;-29,662022;30,326176;RURAL;Facility Owner - Government - Prov;City of Tshwane Metropolitan Municipality;Tshwane 5 Health sub-District;Cullinan;Privatebag X1005;Zonderwater rd.
Mafikeng Gateway Clinic;CLINIC;Free State Province;-29,19323;26,840959;URBAN;Facility Owner - Government - Prov;Ngaka Modiri Molema District Municipality;Mahikeng Local Municipality;Mmabatho;Privatebag X127 Mmabatho 2735;Lichtenburg road Danville
Leratong Clinic;CLINIC;Limpopo Province;-23,468453;30,311993;RURAL;Facility Owner - Government - Prov;Lejweleputswa District Municipality;Matjhabeng Local Municipality;Nyaleallong;privatebag x15 welkom;2400 tagg street
Bophelong (Odendaalsrus) Clinic;CLINIC;;;;RURAL;Facility Owner - Government - Prov;Lejweleputswa District Municipality;Matjhabeng Local Municipality;welkom;privatebag x15 welkom;2600k5 kutloanons o.d
Kakamas Hospital;DISTRICT HOSPITAL;Free State Province;-28,535926;28,805358;RURAL;Facility Owner - Government - Prov;Siyanda District Municipality;Kai !Garib Local Municipality;Kakamas;Privatebag X2, Kakamas;Hofmeter road 1A
Lillian Ngoyi CHC;CHC;Limpopo Province;-23,63409;29,12057;URBAN;Facility Owner - Government - Prov;City of Johannesburg Metropolitan;Johannesburg D Health sub-District;Soweto;Privatebag X21;Chris Hani Rd. Diepkloof
Makoane Clinic;CLINIC;North West Province;-25,318093;25,795523;RURAL;Facility Owner - Government - Prov;Thabo Mofutsanyane District Municipality;Maluti a Phofung Local Municipality;uitsighoek;privatebag x824;
Eva Mota Clinic;CLINIC;KwaZulu-Natal Province;-27,135974;32,004842;RURAL;Facility Owner - Government - Prov;Thabo Mofutsanyane District Municipality;Maluti a Phofung Local Municipality;uitsighoek;privatebag x824;phomolong village tsesey
Deerward Clinic;CLINIC;Limpopo Province;-23,854908;29,396453;RURAL;Facility Owner - Government - Prov;John Taolo Gaetsewe District Municipality;Joe Morolong Local Municipality;Mothibistad;Privatebag X910;
Vryburg Gateway Clinic;CLINIC;KwaZulu-Natal Province;-28,30692;31,50194;URBAN;Facility Owner - Government - Local;Dr Ruth Segomotsi Mompati District;Naledi Local Municipality;Vryburg;Privaye bag X14;no details provided
Tokollo Hospital;DISTRICT HOSPITAL;Free State Province;-29,27168;26,72317;RURAL;Facility Owner - Government - Prov;Fezile Dabi District Municipality;Ngwathe Local Municipality;HEIBRON;PRIVETE BAG X8 HEIBRON;MYRON STREET
Buxton Clinic;CLINIC;Free State Province;-27,996618;26,812938;RURAL;Facility Owner - Government - Prov;Dr Ruth Segomotsi Mompati District;Greater Taung Local Municipality;Taung;Privte Bag X1052 Taung Station;Near Parks Board
Ganyesa CHC;CHC;Gauteng Province;-25,718854;28,368936;RURAL;Facility Owner - Government - Prov;Dr Ruth Segomotsi Mompati District;Kagisano-Molopo Local Municipality;Ganyesa;Privte Bag X533;Chief Block Section
Tswelelopele CHC;CHC;Gauteng Province;-25,691202;28,538929;RURAL;Facility Owner - Government - Prov;Ngaka Modiri Molema District Municipality;Ramotshere Moiloa Local Municipality;;Privte Bag X6338 Zeerust 2865;988 Merements street Ikageng loc 25T
Gong-Gong Satellite Clinic;SATELLITE CLINIC;North West Province;-25,884834;25,65735;RURAL;Facility Owner - Government - Local;Frances Baard District Municipality;Dikgatlong Local Municipality;;Prof Z.K.M Hospital, P/Bag x2, Barkly-West;P. K. Gong Gong
Gwabeni Clinic;CLINIC;Free State Province;-27,780743;26,657483;RURAL;Facility Owner - Government - Prov;Amathole District Municipality;Amahlathi Health sub-District;Peddie;Provate Bag X13;Gwabeni Location
Hebe-Hebe Clinic;CLINIC;Free State Province;-27,85918;26,77652;RURAL;Facility Owner - Government - Prov;Amathole District Municipality;Mnquma Health sub-District;Butterworth;Prvate Bag X 3080, Butterworth,;
Boomplaas Clinic;CLINIC;Northern Cape Province;-28,780787;20,621719;RURAL;Facility Owner - Government - Prov;Chris Hani District Municipality;Emalahleni Health sub-District;Qhoboshane Village Lady Frere;Qhoboshane Village;Lady Frere 5410
Ntembisweni Clinic;CLINIC;Gauteng Province;-26,259523;27,934628;RURAL;Facility Owner - Government - Prov;Umzinyathi District Municipality;Umvoti Local Municipality;Ntembisweni;Qubeni Store P.O Box;Ntembisweni Rd
Lizo Ngcana Clinic;CLINIC;Free State Province;-28,534665;28,88815;URBAN;;Chris Hani District Municipality;Lukhanji Health sub-District;Queenstown;Queenstown;Daresalam unfound location
Danganya Clinic;CLINIC;Free State Province;-28,633441;28,86853;RURAL;Facility Owner - Government - Prov;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;near ultra city;R102 old main road;
Groutville Clinic;CLINIC;Northern Cape Province;-27,12556;23,61634;RURAL;Facility Owner - Government - Prov;iLembe District Municipality;KwaDukuza Local Municipality;;R102 old Main Road;
Church of Scotland Gateway Clinic;CLINIC;North West Province;-26,95725;24,71612;RURAL;Facility Owner - Government - Prov;Umzinyathi District Municipality;Msinga Local Municipality;;R33 Dundee Road,;
Lovu Clinic;CLINIC;Free State Province;-27,289189;27,961691;RURAL;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;Estom;R603 eston;
Glory Hill Clinic;CLINIC;North West Province;-27,62584;24,636535;RURAL;Facility Owner - Government - Prov;Ehlanzeni District Municipality;Thaba Chweu Local Municipality;GRASKOP;Ranky Rabit;Ranky Rabit
Redcliffe Clinic;CLINIC;North West Province;-26,5875;24,17605;RURAL;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;Verulam;Redcliff Clinic,2 Redcliff way;2 Redcliff way
Singisi Clinic;CLINIC;North West Province;-25,558214;26,097735;RURAL;Facility Owner - Government - Prov;Sisonke District Municipality;Umzimkhulu Local Municipality;Stafford;Retief Hospital P.O. Stafford;Singisi Village
Middle Terrace Clinic;CLINIC;Northern Cape Province;-28,454005;24,368936;RURAL;Facility Owner - Government - Prov;Cacadu District Municipality;Makana Health sub-District;Grahamstown;Retrieved at Makana Sub District;Middle Terrace
Riverside Clinic;CLINIC;Eastern Cape Province;-33,09613;26,961981;RURAL;Facility Owner - Government - Prov;Sisonke District Municipality;Umzimkhulu Local Municipality;CREIGHTON;RIVERSIDE CLINIC;Riverside Area
Midros Clinic;CLINIC;Eastern Cape Province;-32,23609;27,83032;RURAL;Facility Owner - Government - Prov;Chris Hani District Municipality;Inxuba Yethemba Health sub-District;Midros;Rivierweg Middleburg;Rivierweg Middleburg
Klipspruit Clinic;CLINIC;Eastern Cape Province;-31,498463;27,185436;RURAL;Facility Owner - Government - Prov;Greater Sekhukhune District Municipality;Makhuduthamaga Local Municipality;Mpudule;RST9;
Heilbron Clinic;CLINIC;KwaZulu-Natal Province;-29,165278;30,760544;URBAN;Facility Owner - Government - Prov;Fezile Dabi District Municipality;Ngwathe Local Municipality;heilbron;SAME;P.O BOX 45
Yeoville Clinic;CLINIC;Eastern Cape Province;-31,92061;26,85484;URBAN;Facility Owner - Government - Local;City of Johannesburg Metropolitan;Johannesburg F Health sub-District;Yeoville;Same As Above;1219 Kenmerey Hopkins Yeoville
Lenasia Ext 10 Clinic;CLINIC;KwaZulu-Natal Province;-30,171927;30,816935;URBAN;Facility Owner - Government - Local;City of Johannesburg Metropolitan;Johannesburg G Health sub-District;Lenasia Ext 10;Same as Above;19388 Acturus Street,Lenasia Ext10
Reedville Clinic;CLINIC;KwaZulu-Natal Province;-29,391439;31,252102;URBAN;Facility Owner - Government - Local;Ekurhuleni Metropolitan Municipality;Ekurhuleni East 1 Health sub-District;Reedville Clinic;same as above;604-605 Otland Road,Springs
Bophelong (Region B) CDC;CDC;KwaZulu-Natal Province;-28,74667;30,45009;URBAN;Facility Owner - Government - Local;Sedibeng District Municipality;Emfuleni Local Municipality;Bophelong;Same as above;632 matheo Street
Moleleki Clinic;CLINIC;KwaZulu-Natal Province;-30,062207;30,826977;URBAN;Facility Owner - Government - Local;Ekurhuleni Metropolitan Municipality;Ekurhuleni South 2 Health sub-District;Katlehong;Same as Above;7703 Khotso Street,Moleleki 2
Rheederspark Clinic;CLINIC;Mpumalanga Province;-24,558575;30,484166;URBAN;Facility Owner - Government - Prov;Lejweleputswa District Municipality;Matjhabeng Local Municipality;rheederspark;same as above;8 schoeman street
Sinethemba Clinic;CLINIC;KwaZulu-Natal Province;-29,639621;31,021614;RURAL;Facility Owner - Government - Prov;City of Johannesburg Metropolitan;Johannesburg G Health sub-District;Poortjie;Same as above;810 Cnr Foreman and Mthimkhulu Street
Eldorado Park Ext 2 Clinic;CLINIC;KwaZulu-Natal Province;-30,251018;29,546893;URBAN;Facility Owner - Government - Local;City of Johannesburg Metropolitan;Johannesburg G Health sub-District;Eldorado Park Ext 2;Same As Above;Arlberg and Witterberg
Lenasia South Civic Centre Clinic;CLINIC;Eastern Cape Province;-33,300141;26,536497;URBAN;Facility Owner - Government - Local;City of Johannesburg Metropolitan;Johannesburg G Health sub-District;Lenasia South;Same As Above;C/O Wellington and Wimbledon Street
Palmridge Clinic;CLINIC;KwaZulu-Natal Province;-30,08038;29,70181;URBAN;Facility Owner - Government - Local;Ekurhuleni Metropolitan Municipality;Ekurhuleni South 2 Health sub-District;Palmridge;Same as Above;
Majara Sephapo Clinic;CLINIC;Eastern Cape Province;-31,50263;25,026222;URBAN;Facility Owner - Government - Prov;Dr Kenneth Kaunda District Municipality;Matlosana Local Municipality;kanana;Samuel ambel street;
Sangcwaba Clinic;CLINIC;Limpopo Province;-25,008715;29,740741;RURAL;Facility Owner - Government - Prov;Sisonke District Municipality;Ubuhlebezwe Local Municipality;Umzinto;Sangcwaba Clinic;Rural Area
"Malmesbury Infectious Disease
Hospital";SPECIALISED TB HOSPITAL;Free State Province;-27,292016;27,967882;RURAL;Facility Owner - Government - Prov;West Coast District Municipality;Swartland Local Municipality;Malmesbury;Schoonspruit Road Malmesbury;Schoonspruit Road Malmesbury
Scottburgh Clinic;CLINIC;Gauteng Province;-26,182096;28,062966;URBAN;Facility Owner - Government - Local;Ugu District Municipality;Umdoni Local Municipality;Scottburgh;Scottburgh Clinic;Cnr. Airth & Williamson Str.
Seakamela Clinic;CLINIC;Gauteng Province;-26,339735;27,872674;RURAL;Facility Owner - Government - Prov;Capricorn District Municipality;Blouberg Local Municipality;Senwabarwana;Seakamela, Avon Village;
Sello-Moloto Clinic;CLINIC;Gauteng Province;-26,264603;28,390541;RURAL;Facility Owner - Government - Prov;Capricorn District Municipality;Aganang Local Municipality;Sello Moloto Clinic, Moletie Monyoaneng;Sello moloto;
Bluegums Clinic;CLINIC;Gauteng Province;-26,6939;27,79729;RURAL;Facility Owner - Government - Prov;Joe Gqabi District Municipality;Senqu Health sub-District;STERKSPRUIT;SENQU SUBDISTRICT;BLUEGUMS CLINIC
Delmas Clinic;CLINIC;Gauteng Province;-26,384481;28,178108;RURAL;Facility Owner - Government - Local;Nkangala District Municipality;Victor Khanye Local Municipality;DELMAS;SEREL CILLIERS 5TH AVENUE FC DUMAT BUILDING;
Louisville Clinic;CLINIC;Free State Province;-27,95453;26,72002;RURAL;Facility Owner - Government - Local;Ehlanzeni District Municipality;Umjindi Local Municipality;Louisville,;Sharlock Trust Ka- Jhon;
Shikhumba Clinic;CLINIC;Gauteng Province;-26,456288;27,766729;RURAL;Facility Owner - Government - Local;Mopani District Municipality;Greater Giyani Local Municipality;giyani;shikhumba village;
Maake Clinic;CLINIC;Gauteng Province;-26,289298;27,921023;RURAL;Facility Owner - Government - Prov;Mopani District Municipality;Greater Tzaneen Local Municipality;shiluvani;shiluvani;
Commercial City FP Clinic;CLINIC;Gauteng Province;-26,388664;27,862299;URBAN;Facility Owner - Government - Prov;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;Durban;shop14 Commercial City;Commercial Road
Lukhanyo Clinic;CLINIC;Gauteng Province;-26,387353;28,143303;URBAN;Facility Owner - Government - Local;Nelson Mandela Bay Municipality;Nelson Mandela B Health sub-District;Kyamnadi;Sibra Mkhonto Street;Sibra Mkhonto Street
Silverkrans Clinic;CLINIC;North West Province;-26,967526;26,618591;RURAL;Facility Owner - Tribal;Bojanala Platinum District Municipality;Moses Kotane Local Municipality;Silwerkraans;Silwerkraans Clinic;Ramaane Section
Hlala Uphilile Clinic;CLINIC;KwaZulu-Natal Province;-30,185584;30,406675;RURAL;Facility Owner - Government - Prov;Chris Hani District Municipality;Emalahleni Health sub-District;Dordrecht;Sinako Township;
Siphilile Clinic;CLINIC;;;;RURAL;Facility Owner - Government - Prov;Uthungulu District Municipality;uMlalazi Local Municipality;eshowe;Siphilile Clinic C/O Eshowe hospital Private Bag X504;R66 Mbizo 2
Reitumetse Clinic;CLINIC;Western Cape Province;-33,47583;18,73722;RURAL;Facility Owner - Government - Local;Thabo Mofutsanyane District Municipality;Dihlabeng Local Municipality;Mashareg;site 4 mashareg;mail street
Leerkrans Satellite Clinic;SATELLITE CLINIC;KwaZulu-Natal Province;-30,28622;30,75435;RURAL;Facility Owner - Government - Local;Siyanda District Municipality;;Upington;Siyanda district office;Clinic street
Karos Satellite Clinic;SATELLITE CLINIC;Limpopo Province;-23,14132;29,1015;RURAL;Facility Owner - Government - Local;Siyanda District Municipality;547510095;Upington;Siyanda District office;Clinic street
Sizana Clinic;CLINIC;Limpopo Province;-23,625194;29,245639;RURAL;Facility Owner - Government - Prov;Zululand District Municipality;Ulundi Local Municipality;Godlankomo;Sizana clinic C/O Ceza hospital Private Bag X200;
Slovo Park Clinic;CLINIC;Eastern Cape Province;-30,547432;27,232095;URBAN;;Ekurhuleni Metropolitan Municipality;Ekurhuleni East 2 Health sub-District;Springs;Slovo Park, Phase 2;1932 Durban Drive
Endayeni Clinic;CLINIC;Mpumalanga Province;-26,14965;28,68707;URBAN;Facility Owner - Government - Local;Ekurhuleni Metropolitan Municipality;Ekurhuleni North 2 Health sub-District;Kempton Park;Some as Above;506 James Mohoya Tembisa
Mayfair Clinic;CLINIC;Mpumalanga Province;-25,686344;31,294742;URBAN;Facility Owner - Government - Local;City of Johannesburg Metropolitan;Johannesburg F Health sub-District;Mayfair;Sommerset and 10th Avenue;
Grootvlei CHC;CHC;Limpopo Province;-23,50013;30,881235;URBAN;Facility Owner - Government - Prov;Gert Sibande District Municipality;Dipaleseng Local Municipality;Grootvlei;Sprincol Road, Groootvlei;
Fauna Clinic;CLINIC;Limpopo Province;-24,03469;30,23681;URBAN;Facility Owner - Government - Prov;Mangaung Metropolitan Municipality;Bloemfontein Health sub-District;Fauna;Springbok 2117,Fauna, BFN;
Santombe Clinic;CLINIC;KwaZulu-Natal Province;-29,856426;30,021807;RURAL;Facility Owner - Government - Prov;Ugu District Municipality;uMuziwabantu Local Municipality;Harding;St Andrews Hosp P/Bag X1010;Cekeza
St Faith's Clinic;CLINIC;Eastern Cape Province;-33,817418;25,45617;RURAL;Facility Owner - Government - Prov;Ugu District Municipality;Umzumbe Local Municipality;Port Shepstone;St Faith's clinic P.O St Faith's Port Shepstone;St Faith's Road
Assisi Clinic;CLINIC;North West Province;-25,493704;26,624908;URBAN;Facility Owner - Government - Prov;Ugu District Municipality;Umzumbe Local Municipality;Port Shepstone;St Faith's Road;
St Lucy's Hospital;DISTRICT HOSPITAL;Eastern Cape Province;-31,377135;27,037944;RURAL;Facility Owner - Government - Prov;Oliver Tambo District Municipality;Mhlontlo Health sub-District;TSOLO;ST LUCY'S HOSPITAL, P.O. ST CUTHBERTS;ST CUTHBERTS
New Rest Clinic;CLINIC;KwaZulu-Natal Province;-28,82402;31,503258;URBAN;Facility Owner - Government - Local;Chris Hani District Municipality;Lukhanji Health sub-District;Queenstown;ST Marks New Rest;ST Marks New Rest
Hlamandana Clinic;CLINIC;Free State Province;-28,620655;28,195531;RURAL;Facility Owner - Government - Prov;Alfred Nzo District Municipality;Umzimvubu Health sub-District;BIZANA;ST PTRICKS HOSP P/B X531;LUDEKA MISSION, NEXT TO METHODIST CHURCH
KwaJali Clinic;CLINIC;Northern Cape Province;-28,407567;21,52425;RURAL;Facility Owner - Government - Prov;Ugu District Municipality;uMuziwabantu Local Municipality;Harding;St. Andrews Hospital;Mawani Road
St Andrew's Hospital;DISTRICT HOSPITAL;Northern Cape Province;-28,42214;21,61318;RURAL;Facility Owner - Government - Prov;Ugu District Municipality;uMuziwabantu Local Municipality;harding;st. andrews hospital p/bag x 1010;14 moodie street
St Margaret's Clinic;CLINIC;KwaZulu-Natal Province;-27,92889;31,40055;RURAL;Facility Owner - Other;Sisonke District Municipality;Umzimkhulu Local Municipality;Umzimkhulu;St. Margarets Clinic;Clydesdale Residential Area
Hazyview Clinic;CLINIC;Gauteng Province;-26,214283;28,489241;RURAL;Facility Owner - Government - Prov;Ehlanzeni District Municipality;Mbombela Local Municipality;Hazyview;Stand 1127 Tarental Street;
Itumeleng (Jagersfontein) Clinic;CLINIC;Gauteng Province;-26,01958;28,191648;RURAL;Facility Owner - Government - Prov;Xhariep District Municipality;Kopanong Local Municipality;JAGGERSFONTEIN;STAND 2264 OLD HOSPITAL BUILDING JAGGERSFONTEIN;
Adelaide Tambo Clinic;CLINIC;Gauteng Province;-26,207251;28,01577;RURAL;Facility Owner - Government - Local;City of Tshwane Metropolitan Municipality;Tshwane 2 Health sub-District;PYRAMID;STAND 30, FANIE VAN RENSBURG STREET;STAND 30, FANIE VAN RENSBURG STREET, PYRAMID
Lothair/Silindile Clinic;CLINIC;Mpumalanga Province;-26,800535;28,504779;RURAL;Facility Owner - Government - Prov;Gert Sibande District Municipality;Msukaligwa Local Municipality;Lothair;Stand 352, Lothair;Stand 352, Lothair
Sunriseview Clinic;CLINIC;Free State Province;-29,16553;26,18987;URBAN;Facility Owner - Government - Local;Ekurhuleni Metropolitan Municipality;Ekurhuleni South 2 Health sub-District;Katlehong;Stand 7871;
Mbonisweni Clinic;CLINIC;KwaZulu-Natal Province;-30,530032;30,024852;RURAL;Facility Owner - Government - Prov;Ehlanzeni District Municipality;Mbombela Local Municipality;Mbonisweni;Stand no 1 Mbonisweni;
Kanyamazane CHC;CHC;KwaZulu-Natal Province;-30,52961;30,20199;RURAL;Facility Owner - Government - Prov;Ehlanzeni District Municipality;Mbombela Local Municipality;Kanyamazane;Stand no 2241 Kanyamazane;Copra street Kanyamazane
Stanza Bopape CHC;CHC;KwaZulu-Natal Province;-30,60645;30,34957;URBAN;Facility Owner - Government - Prov;City of Tshwane Metropolitan Municipality;Tshwane 6 Health sub-District;Mamelodi east;Stand no. 2;Shilovhane street
Fernie 2 Clinic;CLINIC;Eastern Cape Province;-31,297475;28,631337;RURAL;Facility Owner - Government - Prov;Gert Sibande District Municipality;Albert Luthuli Local Municipality;Fernie;Stand no. 676, Fernie B;
Khutsong South Clinic;CLINIC;Eastern Cape Province;-31,903765;26,870922;URBAN;Facility Owner - Government - Prov;West Rand District Municipality;Merafong City Local Municipality;Carltonvile;stand no.1,Sompani road;
Ikhutseng Clinic;CLINIC;Eastern Cape Province;-30,817607;29,720654;RURAL;Facility Owner - Government - Local;Frances Baard District Municipality;Magareng Local Municipality;Ikhutseng;Stasieweg;
Steenbokpan Clinic;CLINIC;KwaZulu-Natal Province;-30,65991;29,73749;URBAN;Facility Owner - Government - Local;Waterberg District Municipality;Lephalale Local Municipality;Steenbokpan;STEENBOKPAN;
Sterkwater Clinic;CLINIC;KwaZulu-Natal Province;-30,57556;29,88928;RURAL;;Waterberg District Municipality;Mogalakwena Local Municipality;STERKWATER;STERKWATER;
Florianville (Floors) Clinic;CLINIC;KwaZulu-Natal Province;-30,294234;29,939128;URBAN;Facility Owner - Government - Local;Frances Baard District Municipality;Sol Plaatjie Local Municipality;Squarehill Park;Stokroos Street Squarehill Park Kimberley;
Stonebridge Clinic;CLINIC;Mpumalanga Province;-25,043975;31,126703;URBAN;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;Phoenix;StoneBridge Phoenix;40 Tower Rd
Masibambane Clinic;CLINIC;Free State Province;-29,767032;25,434632;RURAL;Facility Owner - Government - Prov;Pixley ka Seme District Municipality;Renosterberg Local Municipality;philipstown;str 4 philipstown;STR 4 Philipstown
Kholekile Edward Twani Clinic;CLINIC;Gauteng Province;-25,58195;28,23326;RURAL;Facility Owner - Government - Prov;Pixley ka Seme District Municipality;Emthanjeni Local Municipality;Pixley Ka Seme;street 8 nonzwakazi;street 8 nonzwakazi
Driehoek Clinic;CLINIC;Mpumalanga Province;-26,391966;30,460142;URBAN;Facility Owner - Government - Local;Sedibeng District Municipality;Emfuleni Local Municipality;SE 2;Stuttaford Street SE 2;Stuttaford Street SE 2
Bilatye Clinic;CLINIC;Gauteng Province;-26,39157;28,19707;RURAL;Facility Owner - Government - Local;Chris Hani District Municipality;Intsika Yethu Health sub-District;Cofimvaba;sub district;
Ngxabangu Clinic;CLINIC;Mpumalanga Province;-25,309224;31,108051;RURAL;Facility Owner - Government - Local;Chris Hani District Municipality;Intsika Yethu Health sub-District;Sub district;Sub district;Sub disrtict
Marselle Clinic;CLINIC;Mpumalanga Province;-25,465703;31,184161;RURAL;Facility Owner - Government - Prov;Cacadu District Municipality;Makana Health sub-District;Grahamstown;Sub District Office;Mjiza Street
Khanyayo (Holy Cross) Clinic;CLINIC;Gauteng Province;-25,70567;28,39402;RURAL;Facility Owner - Government - Prov;Oliver Tambo District Municipality;Qaukeni Health sub-District;LUSIKISIKI;SUITE NO. 31 POSTNET X1028;NKAMBATHI ROAD
Phalane Clinic;CLINIC;Mpumalanga Province;-26,418015;30,774011;RURAL;Facility Owner - Government - Local;Bojanala Platinum District Municipality;Moses Kotane Local Municipality;Phalane Village;Thabaneng Section;
Mookgophong CHC;CHC;Gauteng Province;-26,34764;27,33127;URBAN;Facility Owner - Government - Local;Waterberg District Municipality;Mookgophong Local Municipality;MOOKGOPHONG;THABO MBEKI STREEET;
Thafamasi Clinic;CLINIC;Northern Cape Province;-28,130357;24,853987;RURAL;Facility Owner - Government - Prov;iLembe District Municipality;Ndwedwe Local Municipality;Ndwedwe;thafamasi clinic P. O. Box 44359;
Jerry Botha Clinic;CLINIC;Limpopo Province;-23,714963;27,278581;RURAL;Facility Owner - Government - Local;Frances Baard District Municipality;Phokwane Local Municipality;Hartswater;Thagadiepelayang;
Thomo Clinic;CLINIC;Limpopo Province;-24,05844;28,81651;RURAL;Facility Owner - Government - Local;Mopani District Municipality;Greater Giyani Local Municipality;Giyani;Thomo clinic;Thomo village
Thulasizwe Hospital;SPECIALISED TB HOSPITAL;Northern Cape Province;-28,72261;24,760265;RURAL;Facility Owner - Government - Local;Zululand District Municipality;Ulundi Local Municipality;Ceza;Thulasizwe TB Hospital, Private Bag X206, Ceza, 3866;King Dinuzulu Highway
Rooihuiskraal Clinic;CLINIC;KwaZulu-Natal Province;-29,723963;31,017907;URBAN;Facility Owner - Government - Local;City of Tshwane Metropolitan Municipality;Tshwane 4 Health sub-District;Rooihuiskraal;Tiptolhoekie;
Max Madlingozi Clinic;CLINIC;Northern Cape Province;-30,434272;24,474213;URBAN;Facility Owner - Government - Local;Nelson Mandela Bay Municipality;Nelson Mandela A Health sub-District;Kwazakhele;Tshawuka site of service;Tshawuka site of service
Tshidilamolomo Clinic;CLINIC;Northern Cape Province;-30,661698;24,027065;RURAL;Facility Owner - Government - Prov;Ngaka Modiri Molema District Municipality;Ratlou Local Municipality;Mafikeng;Tshidilamolomo Clinic P.O.Box Tshidilamolomo;
Tshilwavhusiku CHC;CHC;Gauteng Province;-26,72609;27,8462;RURAL;Facility Owner - Government - Local;Vhembe District Municipality;Makhado Local Municipality;Tshilwavhusiku,;Tshilwavhusiko post office;
Tshisaulu Clinic;CLINIC;Eastern Cape Province;-31,946554;27,365533;RURAL;Facility Owner - Government - Prov;Vhembe District Municipality;Thulamela Local Municipality;SHAYANDIMA;TSHISANLU CLINIC SHEYANDIMA;RIVERSIDE
Betty Gaetsewe Clinic;CLINIC;Eastern Cape Province;-31,845464;27,610413;URBAN;Facility Owner - Government - Local;Frances Baard District Municipality;Sol Plaatjie Local Municipality;Retswelele;Tshwaragano;
Kuyasa Clinic;CLINIC;Eastern Cape Province;-33,679336;26,635121;RURAL;Facility Owner - Government - Local;Pixley ka Seme District Municipality;Umsobomvu Local Municipality;Colesburg;Tutuse Street;
Galeshewe Day Hospital;CHC;Eastern Cape Province;-31,193877;29,845441;URBAN;;Frances Baard District Municipality;Sol Plaatjie Local Municipality;Galeshewe;Tyson Road;Tyson Road
Umlazi U21 Clinic;CLINIC;North West Province;-25,26493;26,843682;URBAN;Facility Owner - Government - Prov;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;Umlazi U section;U1672 Moris Gumede drive;Moris Gumede drive
Ubuntu Clinic;CLINIC;Limpopo Province;-24,5245;28,70837;RURAL;Facility Owner - Government - Local;City of Tshwane Metropolitan Municipality;Tshwane 6 Health sub-District;Mooiplaas;Ubuntu clinic,Plot 257,Mooiplaas;Plot 257
Osizweni (Umlazi Q) Clinic;CLINIC;KwaZulu-Natal Province;-29,535507;30,856175;URBAN;Facility Owner - Government - Prov;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;umlazi;umlazi q clinic P.O. Umlazi;Q 1219 off umdlebe road
St Margaret's TB Hospital;SPECIALISED TB HOSPITAL;Northern Cape Province;-27,733445;24,801968;RURAL;Facility Owner - Government - Prov;Sisonke District Municipality;Umzimkhulu Local Municipality;Umzimkhulu;Umzimkhulu;P/Bag x517
Mampondomiseni Clinic;CLINIC;Limpopo Province;-23,248235;30,7884;RURAL;Facility Owner - Government - Prov;Oliver Tambo District Municipality;Nyandeni Health sub-District;LIBODE;UNICERCITY LOC MAMPONDOMSENI A/A;
Machibini Clinic (Queenstown);CLINIC;KwaZulu-Natal Province;-27,952137;31,367512;RURAL;Facility Owner - Government - Prov;Chris Hani District Municipality;Lukhanji Health sub-District;Queenstown;unknouwn;
Dithabaneng Clinic;CLINIC;Gauteng Province;-25,8937;28,15372;RURAL;Facility Owner - Government - Local;Capricorn District Municipality;Lepelle-Nkumpi Local Municipality;Lebowakgomo,;UNKNOWN;
Lahlangubo Clinic (Queenstown);CLINIC;Eastern Cape Province;-33,869667;25,58314;RURAL;Facility Owner - Government - Prov;Chris Hani District Municipality;Lukhanji Health sub-District;Whittlesea;unknown;
Byldrift Clinic;CLINIC;North West Province;-25,828798;24,683345;RURAL;Facility Owner - Government - Prov;Capricorn District Municipality;Lepelle-Nkumpi Local Municipality;UNKNOWN;UNKNOWN;
